City,Region,Country,AirQuality,WaterPollution,Population
Mexico City,,Mexico,18.07909605,69.59064327,21804000
Tokyo,,Japan,61.87150838,37.94117647,37732000
La Paz,La Paz Department,Bolivia,27.94117647,79.54545455,2867504
Barcelona,Catalonia,Spain,35.49723757,51.31578947,4800000
Makati,Metro Manila,Philippines,34.21052632,70.94594595,
Nagpur,Maharashtra,India,46.61016949,69.44444444,
Abidjan,,Cote d'Ivoire,6.944444444,79.41176471,
Abu Dhabi,Emirate of Abu Dhabi,United Arab Emirates,55.98290598,37.99019608,1483000
Athens,Attica Region,Greece,44.17412141,30.31561462,3059764
Caracas,Capital District,Venezuela,43.359375,69.06779661,2245744
Pune,Maharashtra,India,39.10788382,71.86147186,8231000
Guatemala City,Guatemala Department,Guatemala,39.28571429,69.53125,3014000
Havana,Havana Province,Cuba,46.66666667,50,2089532
Valenzuela,Metro Manila,Philippines,48.68421053,88.15789474,714978
Pasig,Metro Manila,Philippines,27.94117647,82.69230769,
Antipolo,,Philippines,60.29411765,75,887399
Osijek,Osijek-Baranja County,Croatia,83.75,13.33333333,96313
Cagayan de Oro,,Philippines,62.5,100,728402
Rijeka,Primorje-Gorski Kotar County,Croatia,75,17.85714286,107964
Split,Split-Dalmatia County,Croatia,71.71052632,30,160577
Butuan,,Philippines,37.5,66.66666667,372910
Kiel,Schleswig-Holstein,Germany,93.75,25,247717
Schwerin,Mecklenburg-Western Pomerania,Germany,87.5,50,98596
Potsdam,Brandenburg,Germany,88.63636364,10.71428571,185750
Hanover,Lower Saxony,Germany,75,22.91666667,545045
Dusseldorf,North Rhine-Westphalia,Germany,64.81481481,23.91304348,629047
Mainz,Rhineland-Palatinate,Germany,86.11111111,35,220552
Wiesbaden,Hesse,Germany,73.21428571,42.5,283083
Dubrovnik,Dubrovnik-Neretva County,Croatia,87.5,40,41562
Saarbrucken,Saarland,Germany,87.5,12.5,
Lipa,,Philippines,87.5,25,
Munich,Bavaria,Germany,74.41860465,15.46610169,2606021
Dresden,Saxony,Germany,75,7.894736842,563311
Magdeburg,Saxony-Anhalt,Germany,93.75,6.25,239364
Innsbruck,Tyrol,Austria,75,7.8125,130585
Bregenz,Vorarlberg,Austria,95,50,29620
Vienna,,Austria,82.70547945,10.14492754,2223236
Stockholm,Stockholm County,Sweden,83.20610687,15.0390625,2121000
Helsinki,Uusimaa,Finland,89.88095238,15.49586777,1360075
Dublin,,Ireland,67.02380952,39.70588235,1263219
Murmansk,Murmansk Oblast,Russia,57.14285714,14.28571429,267422
Reykjavik,,Iceland,86.68478261,5.113636364,139875
Tallinn,Harju County,Estonia,81.8877551,18.61702128,614561
Riga,,Latvia,62.5,31.95652174,920643
Bratislava,Bratislava Region,Slovakia,62.32394366,32.46268657,475503
Budapest,,Hungary,40.61032864,32.375,2997958
Gdansk,Pomeranian Voivodeship,Poland,45.55555556,45,
Frankfurt,Hesse,Germany,63.39285714,25.98039216,773068
Wroclaw,Lower Silesian Voivodeship,Poland,25.68807339,35.4368932,
Kochi,Kerala,India,36.5625,68.40277778,677381
Baguio,Cordillera Administrative Region,Philippines,26.88679245,66.4893617,
Kaliningrad,Kaliningrad Oblast,Russia,55,55,498260
Luxembourg,,Luxembourg,83.10810811,20.45454545,132780
Vaduz,,Liechtenstein,100,0,5696
San Marino,,San Marino,87.5,50,4040
Phnom Penh,,Cambodia,26.06382979,70.83333333,2129371
Arkhangelsk,Arkhangelsk Oblast,Russia,43.75,50,351488
Ho Chi Minh City,,Vietnam,12.21910112,77.76162791,15136000
Hanoi,,Vietnam,15.70247934,77.35042735,8246600
Bangkok,,Thailand,26.85185185,70.83333333,18007000
Andorra la Vella,Andorra la Vella,Andorra,37.5,25,22615
Kuala Lumpur,,Malaysia,39.43452381,65.68322981,8911000
Taipei,,Taiwan,52.47933884,44.87179487,2603150
Odessa,Odessa Oblast,Ukraine,50.5,58.85416667,1010537
Concepcion,Biobio Region,Chile,55.76923077,33.33333333,719944
Bologna,Emilia-Romagna,Italy,38.15789474,28.03030303,387971
Petrozavodsk,Karelia,Russia,58.33333333,25,278551
Cagliari,Sardinia,Italy,71.05263158,20,148117
Catania,Sicily,Italy,46.42857143,55.55555556,298762
Caserta,Campania,Italy,34.375,56.25,72805
Ottawa,Ontario,Canada,84.56375839,27.99295775,1068821
Juba,,South Sudan,62.5,75,459342
Yerevan,,Armenia,41.81034483,35,1075800
Vologda,Vologda Oblast,Russia,62.5,25,312420
Dar es Salaam,Dar es Salaam Region,Tanzania,46.875,76,7962000
Khartoum,Khartoum,Sudan,42.85714286,78.125,7869000
Verona,Veneto,Italy,36.11111111,42.85714286,255588
Iqaluit,Nunavut,Canada,50,50,7740
Florence,Tuscany,Italy,52.67857143,36,360930
Whitehorse,Yukon,Canada,92.5,12.5,28201
Yellowknife,Northwest Territories,Canada,87.5,43.75,20340
Essen,North Rhine-Westphalia,Germany,80,4.166666667,584580
Leipzig,Saxony,Germany,84.21052632,20,616093
St. John's,Newfoundland and Labrador,Canada,90.625,35.41666667,185565
Nuremberg,Bavaria,Germany,75,12.5,523026
Edmonton,,Canada,72.03703704,27.46212121,1151635
Duisburg,North Rhine-Westphalia,Germany,53.57142857,31.25,502211
Bochum,North Rhine-Westphalia,Germany,68.18181818,25,365742
Wuppertal,North Rhine-Westphalia,Germany,90,0,358876
Bielefeld,North Rhine-Westphalia,Germany,67.85714286,50,338332
Mannheim,Baden-Wurttemberg,Germany,51.08695652,30.55555556,315554
Regina,Saskatchewan,Canada,68.57142857,42.74193548,226404
Charlottetown,Prince Edward Island,Canada,97.5,20,52390
Victoria,British Columbia,Canada,92.72151899,27.7027027,363222
Winnipeg,Manitoba,Canada,71.31147541,42.64705882,758515
Fredericton,New Brunswick,Canada,90,31.25,64614
Halifax,Nova Scotia,Canada,84.57446809,36.25,439819
Cherepovets,Vologda Oblast,Russia,0,100,317970
Quebec City,Quebec,Canada,82.5,43.75,733156
Arica,Arica y Parinacota Region,Chile,75,50,202131
Pskov,Pskov Oblast,Russia,100,50,209840
Veliky Novgorod,Novgorod Oblast,Russia,100,50,222594
Birmingham,England,United Kingdom,52.97619048,25.64102564,2919600
Minsk,,Belarus,60.9223301,41.40625,1995471
Tver,Tver Oblast,Russia,62.5,37.5,424969
Smolensk,Smolensk Oblast,Russia,50,54.16666667,320170
Yaroslavl,Yaroslavl Oblast,Russia,16.66666667,58.33333333,601403
Mogadishu,Banaadir,Somalia,60,57.5,2610483
Nassau,,The Bahamas,50,59.25925926,
Sanaa,,Yemen,41.66666667,91.66666667,2957000
Ivanovo,Ivanovo Oblast,Russia,33.33333333,87.5,401505
Naples,Campania,Italy,28.84615385,55.31914894,913462
Palermo,Sicily,Italy,45.45454545,51.31578947,630167
Gomel,Gomel Region,Belarus,44.73684211,53.57142857,
Parma,Emilia-Romagna,Italy,34.375,56.81818182,196764
Vladimir,Vladimir Oblast,Russia,37.5,50,352347
Pescara,Abruzzo,Italy,61.11111111,79.16666667,118657
Bremerhaven,,Germany,75,50,115468
Munster,North Rhine-Westphalia,Germany,71.875,25,320946
Ryazan,Ryazan Oblast,Russia,0,91.66666667,537622
Augsburg,Bavaria,Germany,73.52941176,26.92307692,301033
Siena,Tuscany,Italy,81.25,21.42857143,52812
Gelsenkirchen,North Rhine-Westphalia,Germany,62.5,50,263000
Tula,Tula Oblast,Russia,33.33333333,75,467955
Udine,Friuli-Venezia Giulia,Italy,72.5,33.33333333,97808
Chemnitz,Saxony,Germany,87.5,50,248563
Krefeld,North Rhine-Westphalia,Germany,87.5,50,228426
Madrid,Community of Madrid,Spain,36.23417722,18.95424837,6211000
Halle (Saale),Saxony-Anhalt,Germany,75,0,
Freiburg im Breisgau,Baden-Wurttemberg,Germany,88.33333333,5,236140
Oberhausen,North Rhine-Westphalia,Germany,62.5,50,210824
Bogota,,Colombia,23.35025381,48.15789474,7968095
Lubeck,Schleswig-Holstein,Germany,100,25,
Brasilia,Federal District,Brazil,76.53061224,38.04347826,26000
Rostock,Mecklenburg-Western Pomerania,Germany,90.625,37.5,209920
Kassel,Hesse,Germany,75,50,204202
Lima,Lima region,Peru,19.75,76.04166667,10320000
Hagen,North Rhine-Westphalia,Germany,100,50,189783
Hamm,North Rhine-Westphalia,Germany,87.5,50,180849
Santiago,Santiago Metropolitan Region,Chile,17.71523179,40.23972603,7171000
Quito,Pichincha Province,Ecuador,35.86956522,53.07692308,1763275
Ludwigshafen,Rhineland-Palatinate,Germany,75,0,174265
Osnabruck,Lower Saxony,Germany,82.14285714,0,
Asuncion,Capital District,Paraguay,39.65517241,67,477346
Oldenburg,Lower Saxony,Germany,75,18.75,172830
Leverkusen,North Rhine-Westphalia,Germany,83.33333333,50,165748
Solingen,North Rhine-Westphalia,Germany,87.5,50,160643
Neuss,North Rhine-Westphalia,Germany,50,75,154139
Heidelberg,Baden-Wurttemberg,Germany,89.28571429,25,162273
Paderborn,North Rhine-Westphalia,Germany,75,25,154755
Darmstadt,Hesse,Germany,71.875,27.5,162243
Regensburg,Bavaria,Germany,87.5,7.142857143,157443
Paramaribo,Paramaribo District,Suriname,61.36363636,54.54545455,223757
Ingolstadt,Bavaria,Germany,100,0,141029
Ulm,Baden-Wurttemberg,Germany,88.88888889,10,128928
Wolfsburg,Lower Saxony,Germany,96.875,0,125961
Kathmandu,Bagmati,Nepal,11.46341463,80.45685279,845767
Offenbach am Main,Hesse,Germany,75,50,
Belmopan,Cayo District,Belize,62.5,54.16666667,17222
Pforzheim,Baden-Wurttemberg,Germany,85,25,127849
Recklinghausen,North Rhine-Westphalia,Germany,100,50,111734
Bottrop,North Rhine-Westphalia,Germany,80,0,118113
San Jose,San Jose Province,Costa Rica,57.43243243,46.09375,1543000
Reutlingen,Baden-Wurttemberg,Germany,85,25,117547
Koblenz,Rhineland-Palatinate,Germany,67.85714286,41.66666667,115268
San Salvador,San Salvador Department,El Salvador,18.42105263,76.5625,316090
Canberra,Australian Capital Territory,Australia,90.74675325,17.80821918,381488
Erlangen,Bavaria,Germany,81.25,29.16666667,116562
Sydney,,Australia,75.88996764,28.54785479,4840600
Moers,North Rhine-Westphalia,Germany,62.5,50,105287
Trier,Rhineland-Palatinate,Germany,85.71428571,25,112195
Melbourne,Victoria,Australia,79.07303371,28.2234957,5031195
Jena,Thuringia,Germany,95,75,111191
Kursk,Kursk Oblast,Russia,100,50,450977
Siegen,North Rhine-Westphalia,Germany,91.66666667,12.5,102560
Perth,Western Australia,Australia,82.98755187,28.0720339,2141834
Hildesheim,Lower Saxony,Germany,62.5,50,101858
Salzgitter,Lower Saxony,Germany,95,0,104548
Cottbus,Brandenburg,Germany,100,50,99515
Tegucigalpa,Francisco Morazan Department,Honduras,22.61904762,88.46153846,1682725
Managua,Managua Department,Nicaragua,58.33333333,76.66666667,1051236
Panama City,Panama Province,Panama,49.23076923,67.06349206,1500189
Belgorod,Belgorod Oblast,Russia,75,70.83333333,333931
Zadar,Zadar County,Croatia,100,8.333333333,70779
Trento,Trentino-South Tyrol,Italy,86.76470588,0,118046
Ancona,Marche,Italy,63.88888889,30,98356
Voronezh,Voronezh Oblast,Russia,36.84210526,67.10526316,1051995
Perugia,Umbria,Italy,70,50,161748
L'Aquila,Abruzzo,Italy,87.5,50,69558
Lipetsk,Lipetsk Oblast,Russia,37.5,37.5,503216
Bari,Apulia,Italy,63.33333333,22.22222222,316015
Tambov,Tambov Oblast,Russia,62.5,45,289701
Sibenik,Sibenik-Knin County,Croatia,100,0,
Rabat,Rabat-Sale-Kenitra,Morocco,68.33333333,31.73076923,572717
Algiers,Algiers Province,Algeria,39.74358974,60.29411765,3415811
Tunis,Tunis Governorate,Tunisia,36.25,61.11111111,602560
Tripoli,,Libya,54.62962963,68.51851852,1183000
Novy Jicin,,Czech Republic,62.5,50,
Djibouti,Djibouti Region,Djibouti,54.16666667,54.16666667,603900
Antofagasta,Antofagasta Region,Chile,31.25,81.25,348517
Tehran,Tehran Province,Iran,10.70075758,48.12992126,14148000
Karlovac,,Croatia,75,25,49377
Addis Ababa,,Ethiopia,32.27272727,69.54545455,3041002
Jakarta,,Indonesia,22.265625,77.1,33756000
Ankara,Ankara Province,Turkey,38.9084507,57.95454545,5503985
Krasnodar,Krasnodar Krai,Russia,44.44444444,44.44444444,948827
N'Djamena,,Chad,41.66666667,41.66666667,1092066
Niamey,,Niger,25,100,1026848
Calama,Antofagasta Region,Chile,20,75,157575
Nouakchott,,Mauritania,43.75,37.5,1077169
Riyadh,Riyadh Province,Saudi Arabia,33.69565217,44.57364341,7237000
Bamako,,Mali,15,62.5,4227569
Belgrade,Belgrade District,Serbia,34.82532751,50.90497738,1197714
Dakar,Dakar,Senegal,10.34482759,82,1438725
Banjul,,The Gambia,75,62.5,
Conakry,,Guinea,5,93.75,1667864
Monrovia,Montserrado County,Liberia,16.66666667,87.5,1021762
Gera,Thuringia,Germany,100,50,93634
Kaiserslautern,Rhineland-Palatinate,Germany,87.5,5,101228
Accra,Greater Accra Region,Ghana,20.55555556,90.78947368,2388000
Chiguayante,Biobio Region,Chile,50,50,85863
Chillan,Nuble Region,Chile,37.5,50,164270
Zwickau,Saxony,Germany,75,50,87172
Freetown,Western Area,Sierra Leone,25,100,951000
Abuja,Federal Capital Territory,Nigeria,56.25,71.42857143,3770000
Lome,Maritime,Togo,37.5,75,
Flensburg,Schleswig-Holstein,Germany,87.5,50,92550
Amman,Amman Governorate,Jordan,34.03846154,63.10483871,4007526
Tubingen,Baden-Wurttemberg,Germany,89.28571429,8.333333333,
Yaounde,Centre,Cameroon,14.0625,88.63636364,2440462
Coyhaique,Aysen Region,Chile,0,25,61210
Malabo,,Equatorial Guinea,70,35,297000
Beirut,Beirut Governorate,Lebanon,16.96428571,81.80379747,2421354
Libreville,Estuaire Province,Gabon,37.5,87.5,797003
Muscat,Muscat Governorate,Oman,65.57377049,31.73076923,1421409
Bangui,,Central African Republic,0,100,889231
Konstanz,Baden-Wurttemberg,Germany,79.16666667,25,85859
Brazzaville,,Republic of the Congo,37.5,62.5,
Minden,North Rhine-Westphalia,Germany,100,50,83076
Worms,Rhineland-Palatinate,Germany,60,100,84646
Bujumbura,Bujumbura Mairie Province,Burundi,50,75,1143202
Wilhelmshaven,Lower Saxony,Germany,100,50,76089
Kigali,Kigali province,Rwanda,56.25,50,1518632
Concon,Valparaiso Region,Chile,37.5,50,32273
Doha,Ad Dawhah,Qatar,37.87313433,46.16935484,1186023
Dodoma,Dodoma Region,Tanzania,50,50,45807
Copiapo,Atacama Region,Chile,12.5,50,150804
Marburg,Hesse,Germany,85,0,77845
Nairobi,,Kenya,31.25,84.02777778,5545000
Atletico Morelia,Coquimbo Region,Chile,50,50,
Coronel,Biobio Region,Chile,50,50,116262
Lilongwe,Central Region,Malawi,45,95,989318
Lusaka,Lusaka Province,Zambia,33.33333333,98.07692308,2467563
Manama,Capital Governorate,Bahrain,40.27777778,46.77419355,635000
Catanzaro,Calabria,Italy,87.5,50,84670
Maputo,,Mozambique,57.69230769,68.75,1133200
Kampala,,Uganda,19,84.09090909,1680600
Luanda,Luanda Province,Angola,15,81.25,9051000
Mbabane,Hhohho District,Eswatini,93.75,31.25,60691
Maseru,Maseru District,Lesotho,45.83333333,80,343541
Antananarivo,,Madagascar,15.90909091,82.35294118,2300000
Gaborone,South-East District,Botswana,67.10526316,37.5,235884
Harare,,Zimbabwe,38.46153846,87.5,2150000
Bayreuth,Bavaria,Germany,75,0,74506
Pretoria,Gauteng,South Africa,50.32894737,57.74647887,741651
Astrakhan,Astrakhan Oblast,Russia,50,56.25,524371
Port Louis,Port Louis District,Mauritius,50,55.95238095,149194
Windhoek,Khomas Region,Namibia,72.82608696,54.34782609,431000
Bamberg,Bavaria,Germany,95.83333333,12.5,79935
Victoria,,Seychelles,62.5,25,24701
Aschaffenburg,Bavaria,Germany,77.77777778,40,72444
Aalen,Baden-Wurttemberg,Germany,87.5,50,68816
Fulda,Hesse,Germany,87.5,50,69968
Bergheim,North Rhine-Westphalia,Germany,75,50,62376
Liege,Wallonia,Belgium,54.54545455,28.57142857,
Wesel,North Rhine-Westphalia,Germany,100,50,61330
Frankfurt (Oder),Brandenburg,Germany,70,100,58230
Osasco,Sao Paulo,Brazil,35,66.66666667,743432
Fujairah,Emirate of Fujairah,United Arab Emirates,25,62.5,
Friedrichshafen,Baden-Wurttemberg,Germany,90,0,62932
Glasgow,Scotland,United Kingdom,64.90384615,19.44444444,626410
Neu-Ulm,Bavaria,Germany,100,50,61043
Schweinfurt,Bavaria,Germany,87.5,62.5,54675
Passau,Bavaria,Germany,90,0,53907
Lucerne,Canton of Lucerne,Switzerland,71.66666667,21.875,81691
Arusha,Arusha Region,Tanzania,91.66666667,50,416442
Curitiba,Parana,Brazil,73.10126582,48.91304348,1773733
Khabarovsk,Khabarovsk Krai,Russia,61.11111111,57.5,616242
Talca,Maule Region,Chile,40,0,206069
Rancagua,O'Higgins Region,Chile,0,100,231370
Surat,Gujarat,India,46.3592233,61.96808511,
Pula,Istria County,Croatia,88.63636364,27.27272727,52220
Slavonski Brod,Brod-Posavina County,Croatia,27.27272727,17.85714286,45005
Barquisimeto,Lara,Venezuela,25,100,1059092
Surakarta,Central Java,Indonesia,55,55,552118
Hangzhou,Zhejiang,People's Republic of China,25.69444444,62.93103448,
Seattle,Washington,United States of America,79.37062937,36.94852941,737015
Siliguri,West Bengal,India,40,67,701489
Durgapur,West Bengal,India,12.5,50,
Baltimore,Maryland,United States of America,62.5,64.13043478,585708
Adelaide,South Australia,Australia,88.84803922,24.60526316,1295714
Makhachkala,Republic of Dagestan,Russia,62.5,43.75,662600
Stavropol,Stavropol Krai,Russia,85.71428571,28.57142857,450680
Bacolod,Western Visayas,Philippines,39.28571429,75,600783
Bacolod,Western Visayas,Philippines,39.28571429,75,24367
Vladikavkaz,Republic of North Ossetia-Alania,Russia,50,25,306978
Riehen,,Switzerland,100,50,21448
Tarlac City,,Philippines,56.25,75,385398
Rovinj,Istria County,Croatia,100,25,12968
Porec,Istria County,Croatia,83.33333333,8.333333333,
Saratov,Saratov Oblast,Russia,25,60,845300
Orenburg,Orenburg Oblast,Russia,30,60,564773
Saransk,Republic of Mordovia,Russia,0,100,318841
Kirov,Kirov Oblast,Russia,66.66666667,66.66666667,501468
Kirov,Kirov Oblast,Russia,66.66666667,66.66666667,28097
Varazdin,Varazdin County,Croatia,91.66666667,33.33333333,
Izhevsk,Udmurt Republic,Russia,33.33333333,70.83333333,646277
Yoshkar-Ola,Mari El Republic,Russia,100,50,266675
Stellenbosch,Western Cape,South Africa,75,58.33333333,77476
Cape Town,Western Cape,South Africa,68.61111111,50.42613636,4770313
Durban,KwaZulu-Natal,South Africa,57.72058824,60.22727273,838634
Cheboksary,Chuvash Republic,Russia,50,35,489498
Treviso,Veneto,Italy,50,27.77777778,84607
Penza,Penza Oblast,Russia,37.5,62.5,516450
Ulyanovsk,Ulyanovsk Oblast,Russia,58.33333333,37.5,624518
Koprivnica,Koprivnica-Krizevci County,Croatia,100,0,28580
Bjelovar,Bjelovar-Bilogora County,Croatia,100,0,36316
Mary,Mary Region,Turkmenistan,100,0,126141
Banda Aceh,Aceh,Indonesia,71.42857143,12.5,235305
Mecca,Mecca Province,Saudi Arabia,28.57142857,40.625,2427924
Tyumen,Tyumen Oblast,Russia,66.66666667,55,855600
Xi'an,Shaanxi,People's Republic of China,5.952380952,72.05882353,
Toledo,Castile-La Mancha,Spain,75,50,86070
Kabul,Kabul,Afghanistan,18.42105263,81.06060606,4273156
Vukovar,Vukovar-Syrmia County,Croatia,25,75,23175
Lhasa,Tibet,People's Republic of China,12.5,50,
Huntington Beach,California,United States of America,85.71428571,65.625,
Binjai,North Sumatra,Indonesia,75,0,300009
Cuneo,Piedmont,Italy,82.5,0,55744
Medan,North Sumatra,Indonesia,20.83333333,43.33333333,3632000
Pematangsiantar,North Sumatra,Indonesia,100,0,278055
Hvar,Split-Dalmatia County,Croatia,75,25,
Novara,Piedmont,Italy,65,0,101257
Kemerovo,Kemerovo Oblast,Russia,40,60,558973
Alessandria,Piedmont,Italy,35.71428571,56.25,91059
Portland,Oregon,United States of America,74.12280702,36.34259259,652503
Asti,Piedmont,Italy,62.5,50,73421
Soest,North Rhine-Westphalia,Germany,100,50,48607
Brescia,Lombardy,Italy,22.65625,70.53571429,196446
Coventry,England,United Kingdom,56.66666667,31.81818182,362690
St Albans,England,United Kingdom,62.5,18.75,
Cremona,Lombardy,Italy,50,50,70637
Monza,Lombardy,Italy,42.85714286,50,121799
Varese,Lombardy,Italy,50,33.33333333,78409
Indianapolis,Indiana,United States of America,67.44186047,50.65789474,887642
Avignon,,France,57.14285714,66.66666667,90330
Montpellier,,France,71.66666667,29.54545455,302454
Antalya,Antalya Province,Turkey,67.1875,41.07142857,258139
